message,label
"NOTICE: Your loan application has been approved for $50,000. Complete verification: http://loan-approved.ml/verify",1
Your account has been suspended due to unusual activity. Click here to verify your identity immediately: http://secure-login.tk/verify,1
Your gym membership has been renewed for another year. Thank you for being a valued member.,0
"Your payment of $499.99 has been processed. If this wasn't you, click here to cancel: http://payment-verify.cf/cancel",1
Weekly team update: We completed 3 sprints this month. Great work everyone!,0
Your WhatsApp account will be deleted in 48 hours unless you verify: http://whatsapp-verify.ml/confirm,1
ACTION REQUIRED: Verify your PayPal account within 12 hours to avoid permanent suspension: http://paypal-verify.ml/secure,1
You have won a free iPhone 15! Click here to claim your prize before the offer expires: http://free-iphone.xyz/claim,1
The quarterly company report is available on the intranet. Please review before the next all-hands meeting.,0
Warning: Your credit card ending in 4521 was charged $899. Dispute here: http://card-dispute.cf/report,1
Your Spotify account has been compromised. Change your password immediately: http://spotify-secure.ml/reset,1
You have a pending refund of $250. Provide your bank details to receive it: http://refund-process.tk/claim,1
Your research paper has been accepted for presentation at the conference. Congratulations!,0
ALERT: Your Netflix subscription expires today. Update your payment method now to avoid interruption: http://netflix-update.tk/billing,1
Class notes for today's lecture have been uploaded to the student portal.,0
"Dear member, your loyalty points are about to expire. Redeem them now before it's too late: http://points-redeem.tk/claim",1
Road closure notice: Main Street will be closed for repairs from Dec 10-12. Use alternate routes.,0
"Dear students, the semester examination schedule has been posted on the college website. Please check the notice board for details.",0
Congratulations on completing the online certification course! Your certificate is available for download.,0
The weather forecast shows heavy rain expected this weekend. Stay safe and keep your umbrellas handy.,0
"Your Amazon order #12345 has been cancelled. If this wasn't you, click here: http://amazon-order.ga/verify",1
Your LinkedIn account needs verification. Complete the process now to avoid restrictions: http://linkedin-verify.cf/confirm,1
"Hi John, the project meeting has been rescheduled to Monday at 10 AM. Let me know if that works.",0
IMPORTANT: Your health insurance coverage will lapse unless you confirm your details: http://insurance-verify.tk/confirm,1
"Your Apple ID has been disabled. To restore access, confirm your identity here: http://appleid-restore.gq/confirm",1
Your Netflix viewing activity: You watched 5 shows this week. Continue watching your favorites!,0
Thank you for your purchase at Amazon. Your order #78901 will be delivered by Friday.,0
Your flight booking PNR ABC123 has been confirmed. Check-in opens 24 hours before departure.,0
Reminder: Your dental appointment is on Tuesday at 3:30 PM with Dr. Smith at City Dental Clinic.,0
Exclusive offer! Get 90% off on all products. Limited time only: http://mega-sale.xyz/shop,1
The parent-teacher meeting is scheduled for next Friday. Please arrive by 4 PM.,0
Notice: The computer lab will be closed for maintenance on Saturday. Please plan your work accordingly.,0
Security update required for your account. Download the latest security patch: http://security-patch.xyz/download,1
The annual sports day event will be held on December 15th. Registration forms are available at the sports office.,0
"Dear valued customer, your online banking session has expired. Re-login to continue: http://banking-secure.tk/session",1
The office holiday party is on December 22nd from 6 PM. RSVP by December 18th.,0
"Dear customer, we detected unauthorized access to your account. Reset your password immediately: http://account-reset.ga/password",1
URGENT: Your Microsoft 365 subscription payment failed. Update now: http://microsoft-billing.tk/update,1
FINAL WARNING: Your email storage is full. Click to upgrade immediately or lose your emails: http://email-upgrade.xyz/storage,1
Your electricity bill for this month is $85.50. Payment is due by the 15th.,0
Security notice: Someone tried to sign in to your Google account. Verify it's you: http://google-security.ml/verify,1
Reminder: The faculty meeting is scheduled for Thursday at 2 PM in Room 301. Please confirm your attendance.,0
Your package has been delivered to the front door. Thank you for shopping with us.,0
Your internship application has been forwarded to the placement cell. They will contact you shortly.,0
The university cafeteria will have extended hours during exam week. See the schedule posted in the lobby.,0
"Tax refund notification: You are eligible for a $1,200 refund. Submit your SSN to process: http://tax-refund.xyz/claim",1
Congratulations! You've been selected for a $500 survey reward. Complete it here: http://survey-reward.ml/start,1
Your monthly bank statement for November is ready. Log in to your internet banking portal to view it.,0
Your Uber account shows an unpaid trip of $156. Pay now to avoid account suspension: http://uber-pay.ga/settle,1
New course registrations for Spring 2024 open on January 5th. Check the academic calendar for details.,0
Urgent payment required: Your domain name will expire today. Renew now: http://domain-renew.tk/pay,1
The community garden volunteers meeting is this Saturday at 9 AM at the park pavilion.,0
The annual charity run registration is now open. Sign up at the community center.,0
Your Instagram account has been flagged for suspicious activity. Verify now: http://instagram-help.ga/verify,1
FINAL NOTICE: Your electricity will be disconnected unless you pay the outstanding balance: http://electric-pay.ga/bill,1
The hackathon event is scheduled for next weekend. Teams of 3-4 members can register at the CS department.,0
The local farmers market is open every Sunday from 8 AM to 1 PM at Town Square.,0
Your library books are due for return next week. Please visit the library counter during working hours.,0
Alert: Unauthorized login attempt from Russia. Secure your account now: http://account-secure.cf/protect,1
Welcome to our newsletter! This week's highlights include tips for cybersecurity awareness.,0
"Hi, the department meeting will be held tomorrow at 10 AM in Seminar Hall 2. Please be present on time.",0
URGENT: Your bank account will be permanently locked in 24 hours. Confirm your credentials now at http://bank-secure.ml/login,1
The building management reminds all residents to keep the common areas clean.,0
"Dear user, your account activity requires verification. Enter your OTP here: http://otp-verify.ga/code",1
Congratulations! You've won a $1000 gift card. Claim your prize by entering your details: http://free-prize.xyz/claim,1
Your Facebook page has been reported for violations. Appeal now or it will be removed: http://fb-appeal.cf/review,1
Your social security number has been compromised. Verify your identity immediately to prevent fraud: http://ssn-verify.tk/protect,1
Your car service appointment is confirmed for Monday at 10 AM at AutoCare Center.,0
IT Department: Your email password expires today. Update it immediately by clicking this link: http://email-password.ml/update,1
Your prescription refill is ready for pickup at CVS Pharmacy on Main Street.,0
