url_length,has_https,has_ip_address,has_at_symbol,dot_count,hyphen_count,subdomain_count,path_length,query_length,has_suspicious_tld,suspicious_keyword_count,is_shortened,has_brand_impersonation,digit_count_in_domain,has_double_slash_redirect,special_char_count,label
56,1,0,0,2,0,1,13,18,0,0,0,0,0,0,3,0
23,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
35,0,0,0,1,0,0,6,0,1,3,0,0,8,0,1,1
24,1,0,0,2,0,1,5,0,0,0,0,0,0,0,1,0
22,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
36,1,0,0,2,0,1,14,0,0,1,0,0,0,0,1,0
48,0,0,0,2,2,0,25,0,0,1,0,0,0,1,1,1
36,0,0,0,1,1,0,14,0,1,2,0,0,1,0,1,1
42,0,0,0,1,1,0,11,1,1,3,0,1,0,0,1,1
35,0,0,0,1,0,0,21,0,1,1,0,0,0,0,1,1
35,0,0,0,2,0,0,21,0,1,0,0,0,0,0,1,1
13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
47,1,0,0,1,0,0,29,0,0,0,0,0,0,0,1,0
21,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
25,1,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0
46,0,0,0,4,0,3,6,0,1,4,0,1,0,0,1,1
44,1,0,0,2,0,1,6,14,0,0,0,0,0,0,3,0
53,0,0,0,1,0,0,18,19,1,1,0,0,0,0,3,1
36,1,0,0,2,0,1,15,0,0,0,1,0,0,0,1,0
39,1,0,0,2,1,1,14,0,0,1,1,0,0,0,1,0
36,0,0,0,1,2,0,9,0,1,3,0,0,0,0,1,1
60,0,1,1,4,2,2,20,20,0,3,0,0,9,0,3,1
25,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0
47,0,0,0,1,2,0,8,0,1,2,0,0,0,0,1,1
33,0,0,0,1,0,0,6,4,1,2,0,0,8,0,1,1
72,0,0,0,1,4,0,17,11,1,4,0,1,0,0,3,1
77,0,0,0,1,3,0,13,26,1,6,0,1,0,0,5,1
41,0,0,0,1,1,0,15,0,1,2,0,1,0,0,1,1
46,0,0,0,1,2,0,7,0,1,2,0,0,0,0,1,1
41,0,0,0,1,3,0,7,0,1,2,0,0,0,0,1,1
36,1,0,0,2,0,1,11,0,0,0,0,0,0,0,1,0
26,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35,0,1,0,3,0,2,17,0,0,2,0,0,8,0,1,1
29,1,0,0,2,0,1,6,0,0,1,0,0,0,0,1,0
35,0,0,0,1,1,0,12,1,1,2,0,1,0,0,1,1
36,0,0,0,1,0,0,5,0,1,2,0,0,8,0,1,1
22,0,0,0,1,0,0,9,0,0,0,1,0,0,0,1,1
37,0,0,0,2,1,1,7,0,1,4,0,1,0,0,1,1
47,0,0,0,1,2,0,7,0,1,1,0,0,0,0,1,1
39,1,0,0,2,1,1,15,0,0,1,0,0,0,0,1,0
39,0,0,0,2,1,1,7,0,1,3,0,1,0,0,1,1
46,1,0,0,2,0,1,22,0,0,0,0,0,0,0,1,0
